# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.addArtifact.ms,1758902059843000000,1758902072364000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1758902059843000000,1758902072364000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1758902059843000000,1758902072364000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1758902059843000000,1758902072364000000,0
compiler.ArtifactManagerBridge.commit.ms,1758902059843000000,1758902072364000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1758902059843000000,1758902072364000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1758902059843000000,1758902072364000000,2
compiler.ArtifactManagerBridge.findArtifact.ms,1758902059843000000,1758902072364000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1758902059843000000,1758902072364000000,0
VFS.invertedFileNameIndex.requests,1758902059843000000,1758902072364000000,0
VFS.fileByIdCache.hits,1758902059843000000,1758902072364000000,0
VFS.fileChildByName,1758902059843000000,1758902072364000000,2317
VFS.fileByIdCache.misses,1758902059843000000,1758902072364000000,28
NonBlockingReadAction.failedExecutionsCount,1758902059843000000,1758902072364000000,0
NonBlockingReadAction.finalizedExecutionsCount,1758902059843000000,1758902072364000000,9
NonBlockingReadAction.finalizedExecutionTimeUs,1758902059843000000,1758902072364000000,88495
NonBlockingReadAction.failedExecutionTimeUs,1758902059843000000,1758902072364000000,0
AWTEventQueue.dispatchTimeTotalNS,1758902059843000000,1758902072364000000,2291001399
jps.global.get.library.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1758902059843000000,1758902072364000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1758902059843000000,1758902072364000000,0
jps.project.serializers.save.ms,1758902059843000000,1758902072364000000,0
workspaceModel.load.cache.metadata.from.file.ms,1758902059843000000,1758902072364000000,7
workspaceModel.load.cache.from.file.ms,1758902059843000000,1758902072364000000,59
workspaceModel.mutableEntityStorage.collect.changes.ms,1758902059843000000,1758902072364000000,1
jps.facet.change.listener.before.change.events.ms,1758902059843000000,1758902072364000000,0
jps.module.iml.entities.serializer.load.entities.ms,1758902059843000000,1758902072364000000,7
jps.library.entities.serializer.save.entities.ms,1758902059843000000,1758902072364000000,0
workspaceModel.save.cache.to.file.ms,1758902059843000000,1758902072364000000,16
jps.global.initialize.library.bridges.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1758902059843000000,1758902072364000000,0
jps.apply.loaded.storage.ms,1758902059843000000,1758902072364000000,7
workspaceModel.orphan.listener.update.ms,1758902059843000000,1758902072364000000,1
jps.global.handle.before.change.events.ms,1758902059843000000,1758902072364000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1758902059843000000,1758902072364000000,48
workspaceModel.moduleManagerBridge.get.modules.ms,1758902059843000000,1758902072364000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1758902059843000000,1758902072364000000,0
workspaceModel.global.updates.count,1758902059843000000,1758902072364000000,0
workspaceModel.sync.entities.ms,1758902059843000000,1758902072364000000,0
jps.facet.change.listener.init.bridge.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1758902059843000000,1758902072364000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1758902059843000000,1758902072364000000,0
jps.reload.project.entities.ms,1758902059843000000,1758902072364000000,0
jps.global.get.library.by.name.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1758902059843000000,1758902072364000000,3
workspaceModel.moduleBridge.update.option.ms,1758902059843000000,1758902072364000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1758902059843000000,1758902072364000000,2
jps.library.entities.serializer.load.entities.ms,1758902059843000000,1758902072364000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1758902059843000000,1758902072364000000,33
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1758902059843000000,1758902072364000000,1
jps.global.handle.changed.events.ms,1758902059843000000,1758902072364000000,0
jps.module.iml.entities.serializer.save.entities.ms,1758902059843000000,1758902072364000000,0
workspaceModel.global.apply.state.to.project.ms,1758902059843000000,1758902072364000000,20
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1758902059843000000,1758902072364000000,3
jps.global.initialize.library.bridges.after.loading.ms,1758902059843000000,1758902072364000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1758902059843000000,1758902072364000000,0
jps.facet.change.listener.process.change.events.ms,1758902059843000000,1758902072364000000,0
workspaceModel.moduleBridge.before.changed.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1758902059843000000,1758902072364000000,0
jps.artifact.entities.serializer.load.entities.ms,1758902059843000000,1758902072364000000,0
jps.project.serializers.load.ms,1758902059843000000,1758902072364000000,11
workspaceModel.mutableEntityStorage.to.snapshot.ms,1758902059843000000,1758902072364000000,3
workspaceModel.mutableEntityStorage.instances.count,1758902059843000000,1758902072364000000,24
workspaceModel.moduleBridge.facet.initialization.ms,1758902059843000000,1758902072364000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1758902059843000000,1758902072364000000,0
workspaceModel.do.save.caches.ms,1758902059843000000,1758902072364000000,21
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1758902059843000000,1758902072364000000,0
jps.load.project.to.empty.storage.ms,1758902059843000000,1758902072364000000,26
workspaceModel.moduleManagerBridge.create.module.instance.ms,1758902059843000000,1758902072364000000,0
jps.save.changed.project.entities.ms,1758902059843000000,1758902072364000000,0
jps.app.storage.content.writer.save.component.ms,1758902059843000000,1758902072364000000,0
jps.global.get.libraries.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1758902059843000000,1758902072364000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1758902059843000000,1758902072364000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1758902059843000000,1758902072364000000,182
jps.app.storage.content.reader.load.component.ms,1758902059843000000,1758902072364000000,0
jps.artifact.entities.serializer.save.entities.ms,1758902059843000000,1758902072364000000,0
workspaceModel.global.updates.ms,1758902059843000000,1758902072364000000,0
jps.storage.jps.conf.reader.load.component.ms,1758902059843000000,1758902072364000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1758902059843000000,1758902072364000000,1
workspaceModel.mutableEntityStorage.entities.ms,1758902059843000000,1758902072364000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1758902059843000000,1758902072364000000,3
jps.save.global.entities.ms,1758902059843000000,1758902072364000000,2
jps.load.initial.state.ms,1758902059843000000,1758902072364000000,7
JVM.GC.collectionTimesMs,1758902059843000000,1758902072364000000,76
JVM.totalSafepointCount,1758902059843000000,1758902072364000000,274
OS.loadAverage,1758902059843000000,1758902072364000000,2.4794921875
JVM.totalBytesAllocated,1758902059843000000,1758902072364000000,1280184848
JVM.maxHeapBytes,1758902059843000000,1758902072364000000,2147483648
JVM.totalTimeAtSafepointsMs,1758902059843000000,1758902072364000000,85
JVM.threadCount,1758902059843000000,1758902072364000000,123
JVM.totalDirectByteBuffersBytes,1758902059843000000,1758902072364000000,44797575
JVM.totalCpuTimeMs,1758902059843000000,1758902072364000000,20208
JVM.newThreadsCount,1758902059843000000,1758902072364000000,143
JVM.usedHeapBytes,1758902059843000000,1758902072364000000,361257696
JVM.GC.collections,1758902059843000000,1758902072364000000,28
JVM.usedNativeBytes,1758902059843000000,1758902072364000000,312594872
JVM.totalTimeToSafepointsMs,1758902059843000000,1758902072364000000,42
JVM.maxThreadCount,1758902059843000000,1758902072364000000,133
writeAction.median.wait.ms,1758902059843000000,1758902072364000000,0
DiskQueryRelay.tasksRequested,1758902059843000000,1758902072364000000,293
parser.Simple.time.ns,1758902059843000000,1758902072364000000,28350708
writeAction.max.wait.ms,1758902059843000000,1758902072364000000,8
writeAction.wait.ms,1758902059843000000,1758902072364000000,13
DiskQueryRelay.taskWaitingTotalTimeUs,1758902059843000000,1758902072364000000,209788
writeAction.count,1758902059843000000,1758902072364000000,19
DiskQueryRelay.taskExecutionTotalTimeUs,1758902059843000000,1758902072364000000,121372
lexer.Simple.size.bytes,1758902059843000000,1758902072364000000,83
DiskQueryRelay.tasksExecuted,1758902059843000000,1758902072364000000,293
parser.Simple.size.bytes,1758902059843000000,1758902072364000000,83
lexer.Simple.time.ns,1758902059843000000,1758902072364000000,2834958
cacheStateStorage.set.counter,1758902059843000000,1758902072364000000,11
cacheStateStorage.get.counter,1758902059843000000,1758902072364000000,21
cacheStateStorage.get.duration,1758902059843000000,1758902072364000000,26
cacheStateStorage.set.duration,1758902059843000000,1758902072364000000,9
